lake,y_true,pred,std,lo,hi
Greenwood Lake,6.154999999999999,11.220846643890306,3.616097307561373,4.133295921070015,18.308397366710597
Greenwood Lake,4.795,8.543956058438607,6.930031321122143,0.0,22.126817447838008
Greenwood Lake,35.7,28.991664002848967,11.40398810309479,6.639847320783179,51.34348068491475
Greenwood Lake,54.9,37.84132761471949,21.460373281030666,0.0,79.90365924553959
Greenwood Lake,23.450000000000003,24.30228926545704,12.575565650283856,0.0,48.9503979400134
Greenwood Lake,29.6,28.480622055623485,15.077462727393378,0.0,58.032449001314504
Greenwood Lake,24.3,20.170103815079422,8.813735426678978,2.8951823787886255,37.44502525137022
Greenwood Lake,7.2,15.31232473659122,16.310878090417077,0.0,47.28164579380869
Greenwood Lake,30.2,27.202076834988635,8.769666270570013,10.013530944671409,44.39062272530586
Greenwood Lake,14.63,14.25353479514999,6.274869343186199,1.9547908825050406,26.55227870779494
Greenwood Lake,17.59,19.304905746028304,18.065270008560095,0.0,54.71283496280609
Lake Hopatcong,8.366666666666667,9.68491407226454,2.205883235107256,5.361382931454319,14.008445213074761
Lake Hopatcong,4.758333333333334,9.008060002530325,3.3405346737033086,2.4606120420718405,15.55550796298881
Lake Hopatcong,6.9125,8.465952658652593,3.4757275556859364,1.6535266495081586,15.278378667797028
Lake Hopatcong,9.75,10.841908014923456,5.013075421175154,1.0162801894201543,20.66753584042676
Lake Hopatcong,12.25,11.015479451930194,4.059504588268027,3.0588504589248613,18.972108444935525
Lake Hopatcong,11.1125,10.397117704296273,3.2534040756214737,4.020445716078184,16.773789692514363
Lake Hopatcong,9.95,11.282353258536002,4.152920461365308,3.14262915426,19.422077362812004
Lake Hopatcong,12.7,13.225369700089528,2.7004686142606906,7.932451216138575,18.518288184040482
Lake Hopatcong,8.775,12.826573450078525,5.515361741050709,2.0164644376191347,23.636682462537916
Lake Hopatcong,13.0125,13.818821562481917,7.11611513846798,0.0,27.766407233879157
Lake Hopatcong,14.3625,14.329481716424455,3.4253595491389155,7.615777000112181,21.04318643273673
Lake Hopatcong,6.8,10.220496910791493,5.865227386250678,0.0,21.71634258784282
Lake Hopatcong,14.8,13.984373860579408,2.28166359262692,9.512313219030645,18.45643450212817
Lake Hopatcong,6.050000000000001,9.721374601785593,9.610159642560188,0.0,28.55728750120356
Lake Hopatcong,6.1,10.539527760405901,11.449228381133416,0.0,32.98001538742739
Lake Hopatcong,7.1,9.594505517415051,10.159869734847762,0.0,29.507850197716664
Lake Hopatcong,16.5,12.251098594796543,8.614443819057149,0.0,29.135408480148556
Lake Hopatcong,26.0,19.693285039104023,9.433301720691894,1.2040136665479118,38.18255641166013
Lake Hopatcong,12.5,12.04869394402205,8.045215615177538,0.0,27.817316549770027
Lake Hopatcong,14.0,29.706452303000262,32.55177066243878,0.0,93.50792280138026
Lake Hopatcong,33.0,25.813802153698035,11.65063816140062,2.9785513573528206,48.64905295004325
Lake Hopatcong,15.5,14.80389885985696,7.2840997758200094,0.5270632992497415,29.080734420464175
Lake Hopatcong,76.0,60.22058886419512,30.760947559835994,0.0,120.51204608147367
Lake Hopatcong,15.0,17.967568343904233,10.363956771489601,0.0,38.280923616023856
Lake Hopatcong,8.7,10.175576195809887,10.882366933240142,0.0,31.505015384960565
Lake Hopatcong,11.5,15.258657677090532,11.2716898003226,0.0,37.35116968572282
Lake Musconetcong,10.68,9.6185885410511,3.089907895976248,3.562369064937654,15.674808017164546
Lake Musconetcong,3.4800000000000004,7.722940146061366,7.401958416341473,0.0,22.23077864209065
Lake Musconetcong,5.85,8.761096008607064,7.758523861112682,0.0,23.96780277638792
Lake Musconetcong,6.65,11.53207904491889,8.31653095493904,0.0,27.83247971659941
Lake Musconetcong,7.1,11.67670767547174,9.3763983993321,0.0,30.054448538162656
Lake Musconetcong,10.55,11.210134587975878,7.9427065766111555,0.0,26.777839478133743
Lake Musconetcong,5.59,14.37638715679563,10.069602653343377,0.0,34.11280835734865
Lake Musconetcong,16.52,14.407871307492654,3.47464547220483,7.597566181971187,21.218176433014122
Lake Musconetcong,11.0,10.441205198620478,3.7267161325712963,3.1368415787807375,17.74556881846022
Lake Musconetcong,12.5,10.024757006568231,7.416206622333219,0.0,24.56052198634134
Lake Musconetcong,13.435,8.595244189893203,7.471020169460466,0.0,23.23844372203572
Lake Musconetcong,9.125,12.393645874789165,9.550756068219583,0.0,31.113127768499545
Lake Musconetcong,17.0,13.872004755716462,3.9018126894525484,6.224451884389468,21.519557627043458
Mirror Lake,5.39,12.158695857287544,12.14434973413644,0.0,35.961621336194966
Mirror Lake,10.293333333333331,13.814714435442623,9.879385526325915,0.0,33.178310067041416
Mirror Lake,19.593333333333337,17.66626920761629,6.565512632782062,4.797864447363446,30.534673967869132
Mirror Lake,18.69333333333333,14.295653935315865,4.144163207786566,6.173094048054196,22.418213822577535
Mirror Lake,3.9,7.470091978970733,9.193876793060102,0.0,25.490090493368534
Mirror Lake,2.9800000000000004,11.66856597852484,12.635581300234453,0.0,36.434305326984365
Mirror Lake,2.9299999999999997,4.7816271857007635,4.722317303966103,0.0,14.037369101474326
Mirror Lake,5.116666666666667,8.74998934127277,7.178154559606941,0.0,22.819172278102375
Mirror Lake,26.453333333333333,21.90577524201726,9.246484118720588,3.7826663693249074,40.02888411470961
Mirror Lake,13.013333333333334,15.615286220717337,9.872529627002201,0.0,34.96544428964165
Mirror Lake,35.23333333333333,31.40305703781013,13.157801337479372,5.613766416350561,57.1923476592697
Mirror Lake,3.5233333333333334,14.031097098458819,14.640850563521827,0.0,42.7271642029616
Mirror Lake,8.296666666666667,13.074045840919682,16.35939776359327,0.0,45.13846545756249
Packanack Lake,28.0,22.23090910308684,9.968618788543472,2.6924162775416356,41.76940192863205
Packanack Lake,53.5,37.03134035743628,21.459376950757417,0.0,79.09171918092082
Packanack Lake,95.8,74.39420595290548,33.51516744856629,8.704477753715551,140.08393415209542
Packanack Lake,3.005,8.846591326719615,11.420704173877617,0.0,31.231171507519743
Packanack Lake,8.415,20.321363731628452,10.8575366412746,0.0,41.60213554852666
Packanack Lake,10.875,12.719862438323696,6.721421610288832,0.0,25.893848794489806
Pompton Lake,2.9,17.582710360589697,10.602280448069576,0.0,38.363180038806064
Pompton Lake,21.950000000000003,21.099479166530397,10.58004570450773,0.3625895856952468,41.83636874736555
Round Valley Reservoir,1.061,25.835617169312243,18.96164429644356,0.0,63.00043999034162
Round Valley Reservoir,0.82,23.311198497151054,19.676511064650008,0.0,61.877160183865065
Round Valley Reservoir,1.08,24.28051345899476,19.138969003819092,0.0,61.79289270648018
Round Valley Reservoir,1.0,16.69579977513228,12.113147058596422,0.0,40.43756800998126
Round Valley Reservoir,2.03,25.374406804232876,18.906315658589477,0.0,62.43078549506825
Swartswood Lake,16.763333333333335,13.232455959472258,4.8039213018109574,3.816770207922781,22.648141711021736
Swartswood Lake,9.023,15.766179701861674,8.01724569793273,0.05237813391352475,31.479981269809823
Swartswood Lake,11.555,16.700566050140914,7.557928395323252,1.8870263953073412,31.514105704974487
Union Lake,10.703333333333331,12.380430567263764,5.612615436617641,1.3797043114931888,23.38115682303434
Union Lake,30.593333333333337,24.40707045552393,8.806009641793722,7.147291557608234,41.66684935343962
Union Lake,4.7299999999999995,56.88812050031116,36.78241749083353,0.0,128.98165878234488
Wawayanda Lake,7.57,21.73929683582621,13.474176316143767,0.0,48.14868241546799
Wawayanda Lake,4.795,14.036803586026492,7.1217378987179565,0.07819730453929807,27.995409867513686
