timestamp_utc,relative_path,size_bytes,time_count,lat_count,lon_count
2026-07-06T04:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.0400.020.nc,1730028,1,224,464
2026-07-06T05:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.0500.020.nc,1715438,1,224,464
2026-07-06T06:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.0600.020.nc,1696992,1,224,464
2026-07-06T07:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.0700.020.nc,1689277,1,224,464
2026-07-06T08:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.0800.020.nc,1688131,1,224,464
2026-07-06T09:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.0900.020.nc,1688276,1,224,464
2026-07-06T10:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.1000.020.nc,1732449,1,224,464
2026-07-06T11:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.1100.020.nc,1792284,1,224,464
2026-07-06T12:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.1200.020.nc,1848391,1,224,464
2026-07-06T13:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.1300.020.nc,1906878,1,224,464
2026-07-06T14:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.1400.020.nc,1902420,1,224,464
2026-07-06T15:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.1500.020.nc,1901977,1,224,464
2026-07-06T16:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.1600.020.nc,1902817,1,224,464
2026-07-06T17:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.1700.020.nc,1910198,1,224,464
2026-07-06T18:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.1800.020.nc,1923173,1,224,464
2026-07-06T19:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.1900.020.nc,1952894,1,224,464
2026-07-06T20:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.2000.020.nc,1966325,1,224,464
2026-07-06T21:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.2100.020.nc,1980395,1,224,464
2026-07-06T22:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.2200.020.nc,1995821,1,224,464
2026-07-06T23:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/187/NLDAS_FORA0125_H.A20260706.2300.020.nc,1997806,1,224,464
2026-07-07T00:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/188/NLDAS_FORA0125_H.A20260707.0000.020.nc,1991218,1,224,464
2026-07-07T01:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/188/NLDAS_FORA0125_H.A20260707.0100.020.nc,1957954,1,224,464
2026-07-07T02:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/188/NLDAS_FORA0125_H.A20260707.0200.020.nc,1881466,1,224,464
2026-07-07T03:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/188/NLDAS_FORA0125_H.A20260707.0300.020.nc,1796980,1,224,464
2026-07-07T04:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/188/NLDAS_FORA0125_H.A20260707.0400.020.nc,1753238,1,224,464
2026-07-07T05:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/188/NLDAS_FORA0125_H.A20260707.0500.020.nc,1740678,1,224,464
2026-07-07T06:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/188/NLDAS_FORA0125_H.A20260707.0600.020.nc,1722011,1,224,464
2026-07-07T07:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/188/NLDAS_FORA0125_H.A20260707.0700.020.nc,1711123,1,224,464
2026-07-07T08:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/188/NLDAS_FORA0125_H.A20260707.0800.020.nc,1708716,1,224,464
2026-07-07T09:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/188/NLDAS_FORA0125_H.A20260707.0900.020.nc,1699478,1,224,464
2026-07-07T10:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/188/NLDAS_FORA0125_H.A20260707.1000.020.nc,1740202,1,224,464
2026-07-07T11:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/188/NLDAS_FORA0125_H.A20260707.1100.020.nc,1798743,1,224,464
2026-07-07T12:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/188/NLDAS_FORA0125_H.A20260707.1200.020.nc,1854382,1,224,464
2026-07-07T13:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/188/NLDAS_FORA0125_H.A20260707.1300.020.nc,1917078,1,224,464
2026-07-07T14:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/188/NLDAS_FORA0125_H.A20260707.1400.020.nc,1910187,1,224,464
2026-07-07T15:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/188/NLDAS_FORA0125_H.A20260707.1500.020.nc,1906507,1,224,464
2026-07-07T16:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/188/NLDAS_FORA0125_H.A20260707.1600.020.nc,1918041,1,224,464
2026-07-07T17:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/188/NLDAS_FORA0125_H.A20260707.1700.020.nc,1928005,1,224,464
2026-07-07T18:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/188/NLDAS_FORA0125_H.A20260707.1800.020.nc,1941606,1,224,464
2026-07-07T19:00:00,data/raw/nldas/NLDAS_FORA0125_H.2.0/2026/188/NLDAS_FORA0125_H.A20260707.1900.020.nc,1964463,1,224,464
