lake,date,air_temp_c,specific_humidity,surface_pressure_pa,wind_speed_ms,shortwave_wm2,longwave_wm2,cape_jkg,precip_kg_m2,hours
Greenwood Lake,2018-09-13,19.468750254313175,0.0130420041969046,99445.11458333333,2.975008658477971,136.95346506436667,392.62707138061523,115.00000735620658,0.6207999847829342,24
Greenwood Lake,2018-09-14,20.71458714803062,0.013711641814249257,99343.1220703125,3.30453881660134,203.38709529240927,376.7987429300944,87.2133369743824,0.6199999824166298,24
Greenwood Lake,2018-09-15,20.911255137125675,0.013535708421841264,99229.0078125,1.759184410061672,223.16243060429892,368.55791091918945,131.32267407576242,0.0,24
Greenwood Lake,2018-09-16,22.294581349690777,0.01395691690656046,99195.23014322917,2.198087196340571,232.64809558788934,360.77374267578125,178.00800801813602,0.0,24
Greenwood Lake,2018-09-17,21.85416692097984,0.01380412932485342,98988.27766927083,3.302776522353989,204.52955233554044,365.6158281962077,99.63466980059941,5.05999993532896,24
Greenwood Lake,2018-09-18,21.618750508626324,0.0150464668792362,98035.7080078125,3.388622375778097,114.38354730606079,405.4862416585286,54.39733591799935,12.850399646442384,24
Greenwood Lake,2018-10-12,15.962912495931013,0.009843304268239686,97313.07682291667,5.937302348402247,187.62296724319458,331.86957295735675,5.757333583508928,0.33319999277591705,24
Greenwood Lake,2018-10-13,7.1383326212565335,0.005351779167540371,97913.49544270833,3.7827138442264445,92.83783761660258,294.21082433064777,6.202666997909546,4.296399874612689,24
Greenwood Lake,2018-10-14,7.303328450520856,0.005043812522975107,98956.51692708333,3.133701731442154,113.90838122367859,281.5470790863037,0.0,0.0,24
Greenwood Lake,2018-10-15,10.473744964599632,0.007434216832431654,98726.1083984375,4.974586857409776,60.44212826093038,332.67790603637695,2.872000217437744,0.6464000004343688,24
Greenwood Lake,2018-10-16,10.543751017252626,0.006084329177004595,98547.42447916667,6.193349938970808,185.65546782811484,285.06832949320477,10.861333926518759,3.261200062930584,24
Greenwood Lake,2018-10-17,7.1070826212565335,0.004648658388759941,98323.6748046875,6.03856888160955,144.9390039841334,266.9379113515218,16.026667137940724,0.007199999876320362,24
