OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-134-2,Silver Lake-2,Lake,,02020007,,,,,41.1213700000,-74.5353200000,2400,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,037,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-135-1,Ravine Lake - 1,Lake,,02030105,,,,,40.7158660000,-74.6332960000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,035,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-135-2,Ravine Lake - 2,Lake,,02030105,,,,,40.7115920000,-74.6344470000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,035,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-137-1,Erskine Lake - 1,Lake,,02030103,,,,,41.0934180000,-74.2543640000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,031,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-138-1,Weston Mill Pond - 1,Lake,,02030105,,,,,40.4783890000,-74.4144420000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,023,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-138-2,Weston Mill Pond - 2,Lake,,02030105,,,,,40.4694170000,-74.4181060000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,023,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-138-3,Weston Mill Pond -3,Lake,,02030105,,,,,40.4650030000,-74.4299620000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,023,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-139-1,Sparta Lake - 1,Lake,,02030103,,,,,41.0458100000,-74.5624310000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,037,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-142-1,Sunfish Pond - 1,Lake,,02040104,,,,,41.0027060000,-75.0717200000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,041,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-142-2,Sunfish Pond - 2,Lake,,02040104,,,,,41.0024310000,-75.0757830000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,041,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-143-1,Sheppards Mill Pond - 1,Lake,,02040206,,,,,39.4167020000,-75.3168570000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,011,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-143-2,Sheppards Mill Pond - 2,Lake,,02040206,,,,,39.4129240000,-75.3191710000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,011,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-144-1,Bee Meadow Pond - 1,Lake,,02030103,,,,,40.8336310000,-74.4101450000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,027,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-147-1,Clarks Pond - 1,Lake,,02030103,,,,,40.8244570000,-74.1807060000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,013,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-148-1,Basgalore Lake - 1,Lake,,02040202,,,,,39.7338570000,-75.2837080000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,015,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-149-1,Wilderness Lake - 1,Lake,,02040202,,,,,39.8373980000,-74.8429460000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,005,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-149-2,Wilderness Lake - 2,Lake,,02040202,,,,,39.8360560000,-74.8389420000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,005,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-150-1,Pancoast Mill Pond - 1,Lake,,02040302,,,,,39.5201820000,-74.8771520000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,001,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-150-2,Pancoast Mill Pond - 2,Lake,,02040302,,,,,39.5211110000,-74.8735600000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,001,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-151-1,Lower Aetna Lake - 1,Lake,,02040202,,,,,39.8586170000,-74.7996330000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,005,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-151-2,Lower Aetna Lake - 2,Lake,,02040202,,,,,39.8615300000,-74.8027600000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,005,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-153-1,DOD Lake - 1,Lake,,02040206,,,,,39.7450440000,-75.4592390000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,033,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-153-2,DOD Lake - 2,Lake,,02040206,,,,,39.7498880000,-75.4569010000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,033,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-154-1,Paulina Lake - 1,Lake,,02040105,,,,,40.9790840000,-74.9381560000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,041,,,,,,,,,,STORET
